"","tract","meanP","meanN","meanV","meanA","meanD","population16","employment","employment_percent","median_household","means_household","cash_public","food_stamp","med_age","age_me","num_of_users","num_of_tweets","bachelor","bachelor_percent","gyrByCensus","Automobile","Drove.Alone","Public.Transit","Walking","Bicycle","Other","Worked.Home","No.vehicle","One.vehicle","Two.vehicles","Three.vehicles","HoursPerWeek","Quintile.3Mbps","Total.Drivers","Mean.Travel.Time.min","not.alone","medlog","pubtrans","HO.vacancy.rate","Rental.vacancy.rate","median.rooms","Owner.occupied","Renter.occupied","Average.household.OO","Average.household.RO","OPR.....1.00","OPR..1.x..1.5","OPR.....1.51","Mortgage.units","Per.mortgage.OO","HH.Size","One.vehicle.plus"
"1423",5750.01,1.64330306469921,-1.53802497162316,5.70530344282781,4.24641812202753,5.57343642786785,3304,2495,75.5,69014,75448,0,15,30.5,2.5,49,569,692,26.1,1778.17996464119,83.4,78.3,5.7,1.4,3.2,2,4.4,5,22.5,47.3,25.2,38.1,5,2007,29.3,21.7,11.142064661549,1.7404661748405,0,7.5,3.9,28.1,71.9,2.65,2.37,94.6,2.7,2.7,417,91.6,2.44868,95
"1424",5750.02,1.49499848438921,-1.39799939375568,5.73684434826407,4.21206894221393,5.59627099637234,4407,3030,68.8,65536,78698,65,99,40,3,93,428,1026,27.7,74482.6882080865,84,76.5,5.4,3.4,2.7,0.2,4.3,2.2,32.2,43.1,22.5,38.1,5,2345,25.8,23.5,11.0903548889591,1.68639895357023,0,6.2,4.1,38,62,2.35,2.18,95.6,3.5,0.8,630,84,2.2446,97.8
"1425",5751.01,1.499099909991,-1.4009900990099,5.74565415448914,4.22947269200258,5.58830905412089,3387,2385,70.4,41250,46239,136,309,29.6,3.1,32,446,193,7.5,68881.1445788125,73.7,63.2,17.2,0,2.1,3.7,3.4,11.6,22.7,45.7,20,35.6,4,1637,28.6,36.8,10.6274063917628,2.84490938381941,11.1,9.1,3.9,24.6,75.4,2.89,3.46,76.4,15.5,8,317,92.4,3.31978,88.4
"1426",5751.02,1.49962658700523,-1.42905153099328,5.69499100539381,4.29047069131708,5.54123442897544,3404,2099,61.7,29899,40018,156,389,27,2.6,60,306,284,11.5,3956.81316850877,76.1,68.4,13.7,6.3,1.1,0,2.9,15.3,28.1,33.1,23.5,36.4,4,1440,25.7,31.6,10.3055803140034,2.61739583283408,7.8,5.1,3.7,14.9,85.1,4.37,3.54,67.1,20,12.9,170,95.5,3.66367,84.7
"1427",5751.03,1.52456761006289,-1.48840408805031,5.65014931501532,4.28756440061347,5.51708389619506,3942,2693,68.3,35534,46088,215,236,29.6,1.2,65,309,526,17,161584.486208304,82.5,75.3,9,0.4,1.5,0.4,6.3,6,30.9,44.2,18.9,37.6,4,2084,29.4,24.7,10.4782452635959,2.19722457733622,0,1.4,3.9,19.6,80.4,2.72,2.53,90.5,7.6,2,321,82.5,2.56724,94
"1428",5752.01,1.45662847790507,-1.45703764320786,5.69541596019311,4.31567464910026,5.58567508983771,3531,2154,61,32824,43463,159,240,29.3,3.4,44,160,254,9.2,244799.8838882,70.6,46.8,19.1,4.6,0,4,1.7,10,19.1,28.4,42.5,37.5,4,1724,28.1,53.2,10.398915234122,2.94968833505258,0,7.8,4.1,25.6,74.4,3.72,3.93,72.5,16.7,10.8,292,87.2,3.87624,90
"1429",5752.02,1.53562005277045,-1.39050131926121,5.85443964073385,4.22502209920263,5.63742615651944,3427,2420,70.6,38506,47028,160,366,27.2,1.4,20,90,117,4.2,21827.999318,79.9,68.5,8,2.9,1.2,5.3,2.7,5.6,29.1,32.8,32.4,38.2,3,2028,28.4,31.5,10.5585693522893,2.07944154167984,0,1.8,3.9,22.5,77.5,4.07,3.93,64,16.5,19.5,253,91,3.9615,94.3
"1430",5753,1.44692239072257,-1.38403211418376,5.66946675622058,4.27937279703191,5.55095887020488,3190,2073,65,27690,38483,197,370,26.3,2.4,48,435,142,5.6,42644.8754614785,66,49.4,18.4,8.3,0.6,3.5,3.2,13.5,34.9,24.7,26.9,35.6,3,1908,32,50.6,10.228826616165,2.91235066461494,0,7.1,3.7,18.4,81.6,4.58,3.99,63.3,19.8,16.9,175,74.5,4.09856,86.5
"1431",5754.01,1.63013698630137,-1.37214611872146,5.8153809758731,4.21541735902241,5.59116111005394,3914,2474,63.2,38060,42492,125,323,28.6,4.6,26,165,211,7,77664.5924416923,60.5,44.5,31.3,3.2,0.5,3.5,1,18.5,36.4,25.6,19.5,37,3,2055,29.7,55.5,10.5469191408501,3.44361809754611,16.5,6.6,3.4,6.7,93.3,2.8,4.12,53.4,21.6,25,55,67.9,4.03156,81.5
"1432",5754.02,1.62736205593348,-1.3869992441421,5.78261954663154,4.19315471562558,5.60240495263931,2482,1636,65.9,29750,36612,189,339,26.6,2.5,28,683,122,6.1,20740.7292397472,64.8,50.6,24.3,4.2,5.1,1.7,0,19.8,35.9,36.9,7.4,34.6,3,1264,30,49.4,10.3005844109738,3.1904763503465,4.3,0.7,3.5,15,85,2.79,3.79,64.2,19.4,16.3,156,100,3.64,80.2
"1433",5758.01,1.5480572597137,-1.38036809815951,5.83669884454607,4.19999677313318,5.63387033211391,1768,1070,60.5,29932,39565,97,246,26.9,2.3,16,177,85,6.8,128590.317054771,70.6,56.1,16.5,8.1,3.7,0,1,22.2,32.4,20.7,24.7,36.1,3,778,27.4,43.9,10.3066834212002,2.80336038090653,0,2.9,3.4,12,88,4.84,3.37,70.1,16,13.9,82,100,3.5464,77.8
