Incident Number,Date Occurred,UCR,UCR Description,Location,Gang Related,Latitude,Longitude,Map Point
160153693,12/09/2016 12:00:00 AM,1100,Fraud,1800BLK WILSHIRE BLVD,true,34.0302083336052,-118.484569444105,"(34.0302083336052, -118.484569444105)"
160153712,12/10/2016 12:00:00 AM,2614,Trespass/Illegal Entry,2700BLK SANTA MONICA BLVD,true,34.0340833333418,-118.473319444432,"(34.0340833333418, -118.473319444432)"
160153715,12/10/2016 12:00:00 AM,0346,Robbery Strongarm-Bank,100BLK PIER AVE,false,33.9983055556139,-118.480402777686,"(33.9983055556139, -118.480402777686)"
160153758,12/10/2016 12:00:00 AM,0450,Simple Assault,1500BLK 2ND ST,true,34.0128611119292,-118.494694445425,"(34.0128611119292, -118.494694445425)"
160153814,12/09/2016 12:00:00 AM,0710,GTA - Passenger Car,3200BLK ARIZONA AVE,false,34.0395694447198,-118.469749999667,"(34.0395694447198, -118.469749999667)"
160153822,12/10/2016 12:00:00 AM,0660,Larceny - Bicycle,100BLK SANTA MONICA PL,true,34.0139444444592,-118.494083333379,"(34.0139444444592, -118.494083333379)"
160153854,12/03/2016 12:00:00 AM,1400,Vandalism,1000BLK 21ST ST,true,34.0341666675608,-118.484611112173,"(34.0341666675608, -118.484611112173)"
160153857,12/10/2016 12:00:00 AM,1100,Fraud,500BLK PICO BLVD ,true,34.0107638892052,-118.485611110666,"(34.0107638892052, -118.485611110666)"
160153874,12/10/2016 12:00:00 AM,0630,Larceny - Shoplift,300BLK ARIZONA AVE,true,34.0173611113628,-118.497180555241,"(34.0173611113628, -118.497180555241)"
160153894,12/10/2016 12:00:00 AM,0511,Burglary-Force Resd,300BLK 20TH ST,true,34.041708334528,-118.495791668049,"(34.041708334528, -118.495791668049)"
160067011,06/04/2016 12:00:00 AM,2100,DUI,20TH ST / INTERSTATE 10,false,34.0232777777778,-118.473722222222,"(34.0232777777778, -118.473722222222)"
160067013,06/04/2016 12:00:00 AM,0710,GTA - Passenger Car,1500BLK PACIFIC COAST HWY,false,34.0125277782125,-118.497416667126,"(34.0125277782125, -118.497416667126)"
160067020,06/05/2016 12:00:00 AM,0341,Robbery Strongarm-Street/Hwy,1500BLK 6TH ST ,true,34.0159305564283,-118.490888889905,"(34.0159305564283, -118.490888889905)"
160067034,06/05/2016 12:00:00 AM,0450,Simple Assault,1200BLK EUCLID ST,true,34.0253055563705,-118.488972223192,"(34.0253055563705, -118.488972223192)"
160067048,06/05/2016 12:00:00 AM,0450,Simple Assault,2300BLK PICO BLVD,true,34.0085000005121,-118.488861110362,"(34.0085000005121, -118.488861110362)"
160067049,06/05/2016 12:00:00 AM,0990,Arson-All Others,1500BLK 6TH ST ,true,34.0159305564283,-118.490888889905,"(34.0159305564283, -118.490888889905)"
160067085,06/05/2016 12:00:00 AM,2300,Public Intoxication,2100BLK OCEAN AVE ,true,34.0049027780874,-118.489250000323,"(34.0049027780874, -118.489250000323)"
160067087,06/05/2016 12:00:00 AM,1823,Narco Possess-Synthetic,1800BLK LINCOLN BLVD ,true,34.013069445575,-118.48386111239,"(34.013069445575, -118.48386111239)"
160067098,06/05/2016 12:00:00 AM,0450,Simple Assault,1100BLK 2ND ST,true,34.0182500008302,-118.500986112074,"(34.0182500008302, -118.500986112074)"
160067128,06/05/2016 12:00:00 AM,0450,Simple Assault,2300BLK OAK ST,true,34.0149027780803,-118.460486110607,"(34.0149027780803, -118.460486110607)"
160067134,06/05/2016 12:00:00 AM,0420,Agg Assault - Knife,1100BLK 14TH ST,false,34.0274583342108,-118.489638889906,"(34.0274583342108, -118.489638889906)"
160067167,06/05/2016 12:00:00 AM,2626,Municipal Code Violation,700BLK ARIZONA AVE,true,34.0204166669112,-118.493388888578,"(34.0204166669112, -118.493388888578)"
160067198,06/05/2016 12:00:00 AM,1813,Narco Sales-Synthetic,14TH ST / WILSHIRE BLVD ,true,34.02675,-118.488833333333,"(34.02675, -118.488833333333)"
160067230,06/05/2016 12:00:00 AM,2623,Other Animal Crimes,OCEAN AVE / PICO BLVD ,false,34.0075,-118.490305555556,"(34.0075, -118.490305555556)"
160071908,06/12/2016 12:00:00 AM,1100,Fraud,UNK,true,,,
160073330,06/18/2016 12:00:00 AM,0640,Larceny - From Vehicle,900BLK 4TH ST,true,34.0225000008234,-118.502277778753,"(34.0225000008234, -118.502277778753)"
160073338,06/18/2016 12:00:00 AM,2630,Misappropriation of Property,1550BLK THE BEACH,false,34.0101111115019,-118.496472221749,"(34.0101111115019, -118.496472221749)"
160073369,06/18/2016 12:00:00 AM,2300,Public Intoxication,200BLK BROADWAY,true,34.0137638889677,-118.495166666565,"(34.0137638889677, -118.495166666565)"
160073374,06/07/2016 12:00:00 AM,0450,Simple Assault,1200BLK 16TH ST,false,34.0276111119352,-118.486138889859,"(34.0276111119352, -118.486138889859)"
160073421,06/16/2016 12:00:00 AM,1100,Fraud,2200BLK COLORADO AVE,false,34.0278888894864,-118.47454166596,"(34.0278888894864, -118.47454166596)"
160073464,06/18/2016 12:00:00 AM,2300,Public Intoxication,4TH ST / PICO BLVD ,true,34.0096111111111,-118.48725,"(34.0096111111111, -118.48725)"
160073475,06/18/2016 12:00:00 AM,0660,Larceny - Bicycle,2ND ST / SANTA MONICA BLVD,true,34.0148611111111,-118.497027777778,"(34.0148611111111, -118.497027777778)"
160073500,06/19/2016 12:00:00 AM,0450,Simple Assault,2800BLK MAIN ST,true,33.999861111364,-118.481444444693,"(33.999861111364, -118.481444444693)"
160073519,06/19/2016 12:00:00 AM,2100,DUI,800BLK 11TH ST,false,34.0292083342072,-118.497222223246,"(34.0292083342072, -118.497222223246)"
160073529,06/19/2016 12:00:00 AM,2100,DUI,CHELSEA AVE / WILSHIRE BLVD,false,34.0346944444444,-118.479055555556,"(34.0346944444444, -118.479055555556)"
160073533,06/19/2016 12:00:00 AM,2300,Public Intoxication,400BLK ARIZONA AVE,true,34.0181250002774,-118.496222221887,"(34.0181250002774, -118.496222221887)"
160073550,06/19/2016 12:00:00 AM,1823,Narco Possess-Synthetic,1400BLK 3RD STREET PROM,true,34.0149722230254,-118.495291667586,"(34.0149722230254, -118.495291667586)"
160073553,06/19/2016 12:00:00 AM,2610,Possess Drug Paraphernalia,CLOVERFIELD BLVD / OLYMPIC BLVD,true,34.0271111111111,-118.472305555556,"(34.0271111111111, -118.472305555556)"
160073564,06/19/2016 12:00:00 AM,0690,Larceny - Other,1500BLK 2ND ST ,true,34.0128611119292,-118.494694445425,"(34.0128611119292, -118.494694445425)"
160097788,06/21/2016 12:00:00 AM,0650,Larceny - Vehicle Parts/Acc,UNK,false,34.0116527794303,-118.492333335271,"(34.0116527794303, -118.492333335271)"
160097955,06/10/2016 12:00:00 AM,0690,Larceny - Other,1600BLK FRANKLIN ST,true,34.0345138896943,-118.464708334309,"(34.0345138896943, -118.464708334309)"
160097982,06/30/2016 12:00:00 AM,1100,Fraud,UNK SANTA MONICA,false,,,
160098542,06/17/2016 12:00:00 AM,0670,Larceny - From Building,100BLK SAN VICENTE BLVD,true,34.0269166686127,-118.513027776806,"(34.0269166686127, -118.513027776806)"
160107746,06/03/2016 12:00:00 AM,1100,Fraud,500BLK PICO BLVD,true,34.0107638892052,-118.485611110666,"(34.0107638892052, -118.485611110666)"
160080137,07/02/2016 12:00:00 AM,0450,Simple Assault,OCEAN AVE / PICO BLVD,true,34.0075,-118.490305555556,"(34.0075, -118.490305555556)"
160086870,07/15/2016 12:00:00 AM,0450,Simple Assault,WASHINGTON / ABBOTT KINNEY,true,,,
160089215,07/03/2016 12:00:00 AM,1100,Fraud,NORDSTROMS,false,,,
160089507,07/21/2016 12:00:00 AM,1100,Fraud,300BLK SANTA MONICA BLVD,true,34.0160138891726,-118.495597221889,"(34.0160138891726, -118.495597221889)"
160089528,07/21/2016 12:00:00 AM,0450,Simple Assault,1800BLK 11TH ST ,true,34.0155000007229,-118.481180556419,"(34.0155000007229, -118.481180556419)"
160089539,07/21/2016 12:00:00 AM,0640,Larceny - From Vehicle,2700BLK 3RD ST ,false,34.001555555927,-118.480638889277,"(34.001555555927, -118.480638889277)"
160089555,07/21/2016 12:00:00 AM,1820,Narco Possess-Unspecified Drug,1600BLK OCEAN FRONT WALK,true,34.0102083333939,-118.495291666591,"(34.0102083333939, -118.495291666591)"
160089618,07/22/2016 12:00:00 AM,2614,Trespass/Illegal Entry,2ND ST,true,34.0223055563716,-118.505722223199,"(34.0223055563716, -118.505722223199)"
160089622,07/22/2016 12:00:00 AM,2300,Public Intoxication,1500BLK 2ND ST,false,34.0128611119292,-118.494694445425,"(34.0128611119292, -118.494694445425)"
160089624,07/22/2016 12:00:00 AM,2500,Vagrancy,400BLK INTERSTATE 10 ,true,34.0136944460272,-118.488305552346,"(34.0136944460272, -118.488305552346)"
160109680,09/02/2016 12:00:00 AM,1811,Narco Sales Opiate/Cocaine,3800BLK W 27TH ST,true,,,
160094829,08/01/2016 12:00:00 AM,0430,Agg Assault - Othr Wpn,1400BLK OCEAN AVE ,true,34.0134166674862,-118.497222223203,"(34.0134166674862, -118.497222223203)"
160107798,08/04/2016 12:00:00 AM,1100,Fraud,2900BLK 2ND ST,true,33.9994861117277,-118.47991666727,"(33.9994861117277, -118.47991666727)"
160107830,08/29/2016 12:00:00 AM,0630,Larceny - Shoplift,1400BLK 3RD STREET PROM,true,34.0149722230254,-118.495291667586,"(34.0149722230254, -118.495291667586)"
160107839,08/29/2016 12:00:00 AM,0670,Larceny - From Building,1449.B 3RD STREET PROM,true,34.0149722230254,-118.495291667586,"(34.0149722230254, -118.495291667586)"
160107852,08/29/2016 12:00:00 AM,0450,Simple Assault,1600BLK OCEAN AVE,false,34.011736111373,-118.493847221677,"(34.011736111373, -118.493847221677)"
160107860,08/28/2016 12:00:00 AM,0341,Robbery Strongarm-Street/Hwy,26TH ST / OLYMPIC BLVD ,true,34.0316388888889,-118.457611111111,"(34.0316388888889, -118.457611111111)"
160107918,08/27/2016 12:00:00 AM,0660,Larceny - Bicycle,1200BLK PRINCETON ST,true,34.036069445311,-118.475694445469,"(34.036069445311, -118.475694445469)"
160107930,08/29/2016 12:00:00 AM,2626,Municipal Code Violation,200BLK SANTA MONICA BLVD,false,34.0152500002426,-118.496555555239,"(34.0152500002426, -118.496555555239)"
160115258,09/12/2016 12:00:00 AM,0690,Larceny - Other,2100BLK 20TH ST,true,34.0187638892885,-118.468888889246,"(34.0187638892885, -118.468888889246)"
160115259,09/14/2016 12:00:00 AM,0630,Larceny - Shoplift,700BLK BROADWAY,false,34.017750000252,-118.490263888576,"(34.017750000252, -118.490263888576)"
160115285,09/08/2016 12:00:00 AM,0680,Larceny - From Coin Machine,900BLK 6TH ST,false,34.0240416675329,-118.500388889902,"(34.0240416675329, -118.500388889902)"
160115320,09/06/2016 12:00:00 AM,1100,Fraud,700BLK 9TH ST,false,34.0288333337835,-118.500458333853,"(34.0288333337835, -118.500458333853)"
160115335,09/14/2016 12:00:00 AM,0660,Larceny - Bicycle,3RD STREET PROM / ARIZONA AVE,true,34.0169722222222,-118.497638888889,"(34.0169722222222, -118.497638888889)"
160115346,09/14/2016 12:00:00 AM,1400,Vandalism,10TH ST / SANTA MONICA BLVD,true,34.021,-118.489472222222,"(34.021, -118.489472222222)"
160115349,09/14/2016 12:00:00 AM,0511,Burglary-Force Resd,200BLK PALISADES BEACH RD,false,34.0258611114158,-118.515055556133,"(34.0258611114158, -118.515055556133)"
160116997,09/18/2016 12:00:00 AM,2610,Possess Drug Paraphernalia,300BLK OLYMPIC DR,true,34.0116527794303,-118.492333335271,"(34.0116527794303, -118.492333335271)"
160117038,09/18/2016 12:00:00 AM,2300,Public Intoxication,APPIAN WAY / PACIFIC TER,true,34.0091944444444,-118.493888888889,"(34.0091944444444, -118.493888888889)"
160117073,09/18/2016 12:00:00 AM,0450,Simple Assault,OPCC OLYMPIC,false,34.0123472224282,-118.489333332941,"(34.0123472224282, -118.489333332941)"
160117076,09/18/2016 12:00:00 AM,0630,Larceny - Shoplift,300BLK COLORADO AVE,false,34.0133333335649,-118.492472221918,"(34.0133333335649, -118.492472221918)"
160117090,09/18/2016 12:00:00 AM,0660,Larceny - Bicycle,17TH ST / COLORADO AVE ,false,34.0236944444444,-118.479694444444,"(34.0236944444444, -118.479694444444)"
160117110,09/18/2016 12:00:00 AM,1400,Vandalism,LINCOLN BLVD / OLYMPIC BLVD E ,false,34.0145,-118.4855,"(34.0145, -118.4855)"
160117199,09/18/2016 12:00:00 AM,2606,Contempt of Court,100BLK BROADWAY,true,34.0131388891372,-118.49593055524,"(34.0131388891372, -118.49593055524)"
160117213,09/18/2016 12:00:00 AM,0410,Agg Assault - Firearm,400BLK SANTA MONICA PIER,false,34.0085694447909,-118.498361110673,"(34.0085694447909, -118.498361110673)"
